score_i-1,score_i,score_i+1,purity_i-1,purity_i,purity_i+1,review_score,review_purity,Sentiment
-0.00440810097869,-0.000318720031158,0.0,-1.85214326836e-05,-3.74964742539e-06,0.0,-0.210447373845,-0.00226396162929,0
-0.000318720031158,0.0,0.033694134112,-3.74964742539e-06,0.0,0.000510517183515,-0.210447373845,-0.00226396162929,0
0.0,0.033694134112,0.0,0.0,0.000510517183515,0.0,-0.210447373845,-0.00226396162929,-1
0.033694134112,0.0,0.0,0.000510517183515,0.0,0.0,-0.210447373845,-0.00226396162929,-1
0.0,0.0,-0.239527164331,0.0,0.0,-0.00275318579691,-0.210447373845,-0.00226396162929,-1
0.0,-0.239527164331,0.0,0.0,-0.00275318579691,0.0,-0.210447373845,-0.00226396162929,1
-0.239527164331,0.0,0.000112477384392,-0.00275318579691,0.0,9.78064212108e-07,-0.210447373845,-0.00226396162929,-1
0.0,0.000112477384392,0.0,0.0,9.78064212108e-07,0.0,-0.210447373845,-0.00226396162929,-1
0.000112477384392,0.0,0.0,9.78064212108e-07,0.0,0.0,-0.210447373845,-0.00226396162929,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.210447373845,-0.00226396162929,-1
0.0,0.0,0.0,0.0,0.0,0.0,-4.50899117525,-0.0293676933997,0
0.0,0.0,0.0,0.0,0.0,0.0,-4.50899117525,-0.0293676933997,0
0.0,0.0,0.032940606947,0.0,0.0,0.000212520044819,-4.50899117525,-0.0293676933997,0
0.0,0.032940606947,0.000799301880878,0.0,0.000212520044819,2.82438827165e-06,-4.50899117525,-0.0293676933997,-1
0.032940606947,0.000799301880878,0.0,0.000212520044819,2.82438827165e-06,0.0,-4.50899117525,-0.0293676933997,-1
0.000799301880878,0.0,0.0,2.82438827165e-06,0.0,0.0,-4.50899117525,-0.0293676933997,-1
0.0,0.0,0.0,0.0,0.0,0.0,-4.50899117525,-0.0293676933997,-1
0.0,0.0,0.0,0.0,0.0,0.0,-4.50899117525,-0.0293676933997,-1
0.0,0.0,0.0128451363568,0.0,0.0,0.000183501947955,-4.50899117525,-0.0293676933997,-1
0.0,0.0128451363568,0.0,0.0,0.000183501947955,0.0,-4.50899117525,-0.0293676933997,0
0.0128451363568,0.0,-0.0678889883877,0.000183501947955,0.0,-0.000435185822998,-4.50899117525,-0.0293676933997,-1
0.0,-0.0678889883877,0.0,0.0,-0.000435185822998,0.0,-4.50899117525,-0.0293676933997,-1
-0.0678889883877,0.0,0.0,-0.000435185822998,0.0,0.0,-4.50899117525,-0.0293676933997,-1
0.0,0.0,5.696126976e-05,0.0,0.0,2.76511018252e-07,-4.50899117525,-0.0293676933997,1
0.0,5.696126976e-05,-0.000728665868475,0.0,2.76511018252e-07,-4.73159654854e-06,-4.50899117525,-0.0293676933997,1
5.696126976e-05,-0.000728665868475,0.0,2.76511018252e-07,-4.73159654854e-06,0.0,-4.50899117525,-0.0293676933997,-1
-0.000728665868475,0.0,-4.48701552745,-4.73159654854e-06,0.0,-0.0293268988722,-4.50899117525,-0.0293676933997,-1
0.0,-4.48701552745,0.0,0.0,-0.0293268988722,0.0,-4.50899117525,-0.0293676933997,-1
0.0,0.0,0.0,0.0,0.0,0.0,-0.0743305031579,-0.00142903164069,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.0743305031579,-0.00142903164069,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.0743305031579,-0.00142903164069,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.0743305031579,-0.00142903164069,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.0743305031579,-0.00142903164069,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.0743305031579,-0.00142903164069,1
0.0,0.0,-0.0742943691504,0.0,0.0,-0.00142873786828,-0.0743305031579,-0.00142903164069,1
0.0,-0.0742943691504,0.0,0.0,-0.00142873786828,0.0,-0.0743305031579,-0.00142903164069,1
-0.0742943691504,0.0,-3.61340075042e-05,-0.00142873786828,0.0,-2.93772418733e-07,-0.0743305031579,-0.00142903164069,-1
0.0,-3.61340075042e-05,0.0,0.0,-2.93772418733e-07,0.0,-0.0743305031579,-0.00142903164069,-1
-3.61340075042e-05,0.0,0.0,-2.93772418733e-07,0.0,0.0,-0.0743305031579,-0.00142903164069,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.705688391383,-0.00363781637384,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.705688391383,-0.00363781637384,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.705688391383,-0.00363781637384,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.705688391383,-0.00363781637384,0
0.0,0.0,0.00307258626771,0.0,0.0,2.43856052993e-05,-0.705688391383,-0.00363781637384,0
0.0,0.00307258626771,0.0,0.0,2.43856052993e-05,0.0,-0.705688391383,-0.00363781637384,0
